id,name,description,category,latitude,longitude,rating,price_level,tags,image_url,opening_hours
49c7bb58-1f6a-42eb-857b-141e9bd191f3,Gateway of India,Iconic arch-monument facing the Arabian Sea.,Landmark,18.922,72.8347,4.8,0,colaba|landmark,,"{""mon"":[[""08:00"",""20:00""]],""tue"":[[""08:00"",""20:00""]],""wed"":[[""08:00"",""20:00""]],""thu"":[[""08:00"",""20:00""]],""fri"":[[""08:00"",""20:00""]],""sat"":[[""08:00"",""20:00""]],""sun"":[[""08:00"",""20:00""]]}"
4d98751d-06fc-4591-880a-63c9f82d8f17,Marine Drive,Promenade with sweeping bay views; perfect for sunsets.,Viewpoint,18.9433,72.8238,4.5,0,marine drive|viewpoint|outdoors,,"{""mon"":[[""06:00"",""22:00""]],""tue"":[[""06:00"",""22:00""]],""wed"":[[""06:00"",""22:00""]],""thu"":[[""06:00"",""22:00""]],""fri"":[[""06:00"",""22:00""]],""sat"":[[""06:00"",""22:00""]],""sun"":[[""06:00"",""22:00""]]}"
0d078115-9d73-4f9b-afba-10065b596beb,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Premier museum showcasing art & history.,Museum,18.926,72.8327,4.8,1,fort|museum,,"{""mon"":[[""10:00"",""18:00""]],""tue"":[[""10:00"",""18:00""]],""wed"":[[""10:00"",""18:00""]],""thu"":[[""10:00"",""18:00""]],""fri"":[[""10:00"",""18:00""]],""sat"":[[""10:00"",""18:00""]],""sun"":[[""10:00"",""18:00""]]}"
4ea3dc45-28b6-443d-ba24-afd95508e696,Elephanta Caves,UNESCO-listed cave temples on Elephanta Island.,Nature,18.9643,72.9316,4.2,0,elephanta|nature|outdoors,,"{""mon"":[[""07:00"",""19:00""]],""tue"":[[""07:00"",""19:00""]],""wed"":[[""07:00"",""19:00""]],""thu"":[[""07:00"",""19:00""]],""fri"":[[""07:00"",""19:00""]],""sat"":[[""07:00"",""19:00""]],""sun"":[[""07:00"",""19:00""]]}"
91c12bd3-1796-4686-992d-d20985f64bfd,Siddhivinayak Temple,Famous temple devoted to Lord Ganesha.,Temple,19.0176,72.8305,4.5,0,dadar|temple,,"{""mon"":[[""05:30"",""21:30""]],""tue"":[[""05:30"",""21:30""]],""wed"":[[""05:30"",""21:30""]],""thu"":[[""05:30"",""21:30""]],""fri"":[[""05:30"",""21:30""]],""sat"":[[""05:30"",""21:30""]],""sun"":[[""05:30"",""21:30""]]}"
cd92e185-4937-42ca-b16a-8881928a86c3,Haji Ali Dargah,Mosque and tomb on a small islet accessible via causeway.,Landmark,18.9823,72.8087,4.8,1,worli|landmark,,"{""mon"":[[""08:00"",""20:00""]],""tue"":[[""08:00"",""20:00""]],""wed"":[[""08:00"",""20:00""]],""thu"":[[""08:00"",""20:00""]],""fri"":[[""08:00"",""20:00""]],""sat"":[[""08:00"",""20:00""]],""sun"":[[""08:00"",""20:00""]]}"
e19ecee3-8793-4db1-82aa-273ad8ccfec2,Bandra-Worli Sea Link Viewpoint,Bridge views and photo spot.,Viewpoint,19.0169,72.8179,4.3,1,worli|viewpoint|outdoors,,"{""mon"":[[""06:00"",""22:00""]],""tue"":[[""06:00"",""22:00""]],""wed"":[[""06:00"",""22:00""]],""thu"":[[""06:00"",""22:00""]],""fri"":[[""06:00"",""22:00""]],""sat"":[[""06:00"",""22:00""]],""sun"":[[""06:00"",""22:00""]]}"
26bb0951-0964-4d78-8865-370721bb190f,Juhu Beach,Popular sandy beach with street food.,Beach,19.0988,72.8267,4.5,0,juhu|beach|outdoors,,"{""mon"":[[""06:00"",""22:00""]],""tue"":[[""06:00"",""22:00""]],""wed"":[[""06:00"",""22:00""]],""thu"":[[""06:00"",""22:00""]],""fri"":[[""06:00"",""22:00""]],""sat"":[[""06:00"",""22:00""]],""sun"":[[""06:00"",""22:00""]]}"
8eed6fa4-8611-4188-966c-d4c80c851755,Carter Road Promenade,Seaside walkway with cafés and buzzing evenings.,Viewpoint,19.0663,72.8278,4.6,0,bandra|viewpoint|outdoors,,"{""mon"":[[""06:00"",""22:00""]],""tue"":[[""06:00"",""22:00""]],""wed"":[[""06:00"",""22:00""]],""thu"":[[""06:00"",""22:00""]],""fri"":[[""06:00"",""22:00""]],""sat"":[[""06:00"",""22:00""]],""sun"":[[""06:00"",""22:00""]]}"
fb6e619a-1b69-4f05-b8bc-52a83a5e0eea,Linking Road Market,Bustling street market for fashion & bargains.,Market,19.0725,72.836,4.3,2,bandra|market|bargains,,"{""mon"":[[""10:00"",""21:00""]],""tue"":[[""10:00"",""21:00""]],""wed"":[[""10:00"",""21:00""]],""thu"":[[""10:00"",""21:00""]],""fri"":[[""10:00"",""21:00""]],""sat"":[[""10:00"",""21:00""]],""sun"":[[""10:00"",""21:00""]]}"
5b890ec1-d4e6-48d8-bd5d-780434065845,Global Vipassana Pagoda View,Golden pagoda visible from Gorai; meditation center.,Landmark,19.2326,72.7926,4.1,0,borivali|landmark,,"{""mon"":[[""08:00"",""20:00""]],""tue"":[[""08:00"",""20:00""]],""wed"":[[""08:00"",""20:00""]],""thu"":[[""08:00"",""20:00""]],""fri"":[[""08:00"",""20:00""]],""sat"":[[""08:00"",""20:00""]],""sun"":[[""08:00"",""20:00""]]}"
ace353cf-6b8c-4c83-bbe6-04e82d6e0170,Sanjay Gandhi National Park,Vast urban park with trails and Kanheri Caves.,Nature,19.2147,72.9106,4.8,0,sanjay gandhi np|nature|outdoors,,"{""mon"":[[""07:00"",""19:00""]],""tue"":[[""07:00"",""19:00""]],""wed"":[[""07:00"",""19:00""]],""thu"":[[""07:00"",""19:00""]],""fri"":[[""07:00"",""19:00""]],""sat"":[[""07:00"",""19:00""]],""sun"":[[""07:00"",""19:00""]]}"
fd123ec6-b897-48ea-8292-a21d89c7ef0d,Powai Lake,Scenic lake with walking paths and birdlife.,Park,19.1167,72.9042,4.7,0,powai|park|outdoors,,"{""mon"":[[""06:00"",""19:00""]],""tue"":[[""06:00"",""19:00""]],""wed"":[[""06:00"",""19:00""]],""thu"":[[""06:00"",""19:00""]],""fri"":[[""06:00"",""19:00""]],""sat"":[[""06:00"",""19:00""]],""sun"":[[""06:00"",""19:00""]]}"
c2feca89-49e4-4a60-8bc1-554ef67e3d86,Hanging Garden (Pherozeshah Mehta Garden),Terraced gardens on Malabar Hill.,Park,18.9565,72.8057,4.4,0,marine drive|park|outdoors,,"{""mon"":[[""06:00"",""19:00""]],""tue"":[[""06:00"",""19:00""]],""wed"":[[""06:00"",""19:00""]],""thu"":[[""06:00"",""19:00""]],""fri"":[[""06:00"",""19:00""]],""sat"":[[""06:00"",""19:00""]],""sun"":[[""06:00"",""19:00""]]}"
8f17287c-b9ee-4e72-9df6-6796e69e00e6,Mani Bhavan Gandhi Museum,Gandhi's Mumbai HQ; exhibits & library.,Museum,18.9622,72.8052,4.5,2,marine drive|museum,,"{""mon"":[[""10:00"",""18:00""]],""tue"":[[""10:00"",""18:00""]],""wed"":[[""10:00"",""18:00""]],""thu"":[[""10:00"",""18:00""]],""fri"":[[""10:00"",""18:00""]],""sat"":[[""10:00"",""18:00""]],""sun"":[[""10:00"",""18:00""]]}"
a6fe7384-62c2-489c-ad08-616d4340d1d9,Colaba Causeway,Lively street market with boutiques and cafés.,Market,18.9159,72.8243,4.4,2,colaba|market|bargains,,"{""mon"":[[""10:00"",""21:00""]],""tue"":[[""10:00"",""21:00""]],""wed"":[[""10:00"",""21:00""]],""thu"":[[""10:00"",""21:00""]],""fri"":[[""10:00"",""21:00""]],""sat"":[[""10:00"",""21:00""]],""sun"":[[""10:00"",""21:00""]]}"
ba9aecd2-1cb3-46e5-8899-212bf84ce7d7,Taraporewala Aquarium,Marine aquarium with tropical species.,Museum,18.9525,72.8172,4.5,1,marine drive|museum,,"{""mon"":[[""10:00"",""18:00""]],""tue"":[[""10:00"",""18:00""]],""wed"":[[""10:00"",""18:00""]],""thu"":[[""10:00"",""18:00""]],""fri"":[[""10:00"",""18:00""]],""sat"":[[""10:00"",""18:00""]],""sun"":[[""10:00"",""18:00""]]}"
98e52980-6dc3-4c8e-845f-06f61e5db5b7,Phoenix Palladium,High-end shopping mall & dining.,Mall,19.0033,72.8259,4.5,3,worli|mall|shopping,,"{""mon"":[[""11:00"",""22:00""]],""tue"":[[""11:00"",""22:00""]],""wed"":[[""11:00"",""22:00""]],""thu"":[[""11:00"",""22:00""]],""fri"":[[""11:00"",""22:00""]],""sat"":[[""11:00"",""22:00""]],""sun"":[[""11:00"",""22:00""]]}"
0fd1179f-6c94-4b5a-83b9-8d91b212e006,R City Mall,Large mall with multiplex and eateries.,Mall,19.0974,72.9166,4.4,1,ghatkopar|mall|shopping,,"{""mon"":[[""11:00"",""22:00""]],""tue"":[[""11:00"",""22:00""]],""wed"":[[""11:00"",""22:00""]],""thu"":[[""11:00"",""22:00""]],""fri"":[[""11:00"",""22:00""]],""sat"":[[""11:00"",""22:00""]],""sun"":[[""11:00"",""22:00""]]}"
4972c6c9-6866-49eb-9ce0-c378f5779e7a,Prithvi Theatre,Iconic theatre with cozy café.,Landmark,19.1152,72.8277,4.0,0,juhu|landmark,,"{""mon"":[[""08:00"",""20:00""]],""tue"":[[""08:00"",""20:00""]],""wed"":[[""08:00"",""20:00""]],""thu"":[[""08:00"",""20:00""]],""fri"":[[""08:00"",""20:00""]],""sat"":[[""08:00"",""20:00""]],""sun"":[[""08:00"",""20:00""]]}"
988b3752-f0f2-4d66-8c76-f615f477a187,Asiatic Society Library Steps,Grand steps & neo-classical facade.,Landmark,18.9322,72.8345,4.3,0,fort|landmark,,"{""mon"":[[""08:00"",""20:00""]],""tue"":[[""08:00"",""20:00""]],""wed"":[[""08:00"",""20:00""]],""thu"":[[""08:00"",""20:00""]],""fri"":[[""08:00"",""20:00""]],""sat"":[[""08:00"",""20:00""]],""sun"":[[""08:00"",""20:00""]]}"
